factives,hedges,implicatives,report_verbs,bias,negative_words,positive_words,negative_colloquial_words,positive_colloquial_words
,,,,,منفى,استرخاء,ينابح,
,,,,,باهظ,موثوق,ينابحون,
,,,,,الإسراف,بثقة,يناشبونك,
,,,,,باهظ,اِرتِياح,ينبحون,
,,,,,يطرد,استمتع,ينتظرون,
,,,,,غالي,مميز,ينتقد,
,,,,,تنقضي,لافت للنظر,ينتهي,
,,,,,منتهي الصلاحية,علاج,ينزف,
,,,,,ينفجر,مغفرة,ينصرنا,
,,,,,يستغل,مكافأة,ينعمون,
,,,,,استغلال,عصر النهضة,ينفجر,
,,,,,مادة متفجرة,متجدد,ينقد,
,,,,,مصادرة,شهرة,ينقشعون,
,,,,,مصادرة,مشهورة,ينقلب,
,,,,,طرد,قابلة للاستبدال,ينكر,
,,,,,مسح,حسن السمعة,يهايط,
,,,,,إبادة,سمعة,يهد,
,,,,,إطفاء,مرن,يهمز,
,,,,,ابتزاز,حازم,يهين,
,,,,,خارجي,يتعالى,يوعدون,
,,,,,الإسراف,مدوية,أذى,
,,,,,باهظ,واسع الحيلة,,
,,,,,بإسراف,الحيلة,,
,,,,,التطرف,احترام,,
,,,,,متطرف,محترم,,
,,,,,المتطرفين,باحترام,,
,,,,,قذى للعين,فترة راحة,,
,,,,,افتعال,متألق,,
,,,,,تلفيق,بمسؤولية,,
,,,,,طريف,سريع الاستجابة,,
,,,,,بشكل طريف,مريح,,
,,,,,يفشل,رمم,,
,,,,,فشل,إعادة الهيكلة,,
,,,,,الفشل,قابل للسحب,,
,,,,,إِغماء,عربد,,
,,,,,جبان,وحي,,
,,,,,كافر,احترام,,
,,,,,مزيف,تقديس,,
,,,,,يسقط,الموقر,,
,,,,,مغالطات,بوقار,,
,,,,,مغالطة,تنشيط,,
,,,,,بشكل مخطئ,إحياء,,
,,,,,مغالطة,اعادة احياء,,
,,,,,مغالطة,ينعش,,
,,,,,سقط,ثوري,,
,,,,,هبوط,ثورة,,
,,,,,يسقط,يحدث ثورة,,
,,,,,السقوط,جائزة,,
,,,,,خطأ شنيع,مجزي,,
,,,,,الباطل,بشكل مجزي,,
,,,,,زورا,ثري,,
,,,,,تزوير,اكثر ثراء,,
,,,,,تعثر,غنية,,
,,,,,تعثرت,ثراء,,
,,,,,مجاعة,يمين,,
,,,,,جائع,تصويب,,
,,,,,متعصب,الصالحين,,
,,,,,بتعصب,بحق,,
,,,,,التعصب,نزاهه,,
,,,,,المتعصبين,شرعي,,
,,,,,خيالي,الصواب,,
,,,,,بعيد المنال,بلا مخاطر,,
,,,,,هزل,قوي,,
,,,,,هزلية,رومانسي,,
,,,,,هزلية بعد استفزازية,بشكل رومانسي,,
,,,,,هزلية,أكثر اتساعا,,
,,,,,بعيد المنال,فسيح,,
,,,,,الفاشية,وردية,,
,,,,,فاشي,آمن,,
,,,,,صعب الإرضاء,بأمان,,
,,,,,بدقة,فصاحة,,
,,,,,سريع,بحكمة,,
,,,,,سمين,قديس,,
,,,,,قط سمين,القداسة,,
,,,,,قطط سمينة,قديس,,
,,,,,مميت,مفيد,,
,,,,,قدري,التحية,,
,,,,,بشكل قاتل,عاقل,,
,,,,,قاتلة,بشكل مرضي,,
,,,,,قط سمين,مرض,,
,,,,,قطط سمينة,راضي,,
,,,,,مصيري,استوفي,,
,,,,,مصيري,رضا,,
,,,,,لا يسبر غوره,مرضيه,,
,,,,,تعب,راض,,
,,,,,مرهق,التوقف,,
,,,,,فاتيكي,مدخرات,,
,,,,,الدهنية,المنقذ,,
,,,,,السخافة,والدهاء,,
,,,,,سخيف,ذات المناظر الخلابة,,
,,,,,بسخافة,سلس,,
,,,,,عيب,المخضرمين,,
,,,,,فوالق,يؤمن,,
,,,,,متعطل,بشكل آمن,,
,,,,,بشكل متودد,انتقائي,,
,,,,,تذهل,تقرير المصير,,
,,,,,يخاف,احترام الذات,,
,,,,,خشية,الرضا عن النفس,,
,,,,,بخوف,الاكتفاء الذاتي,,
,,,,,مخاوف,مكتفية ذاتيا,,
,,,,,مخيف,إحساس,,
,,,,,ضعيف,مثيرة,,
,,,,,ضعيف,بشكل مثير,,
,,,,,بضعف,الأحاسيس,,
,,,,,ضعيف العقل,منطقي,,
,,,,,اختلق,بشكل معقول,,
,,,,,خدعة,حساس,,
,,,,,يسقط,هادئ,,
,,,,,مجرم,راحة نفسية,,
,,,,,إجرامية,جنسي,,
,,,,,بشراسة,حاد,,
,,,,,شراسة,أكثر وضوحا,,
,,,,,نتن,حاد,,
,,,,,حمى,متلألئ,,
,,,,,محموم,يشرق,,
,,,,,الحمى,لامع,,
,,,,,الفشل الذريع,بارِز,,
,,,,,أكذوبة,صامتة,,
,,,,,كذاب,أبسط,,
,,,,,متقلب,مبسط,,
,,,,,خيالي,يبسط,,
,,,,,خيالي,تبسيط,,
,,,,,خيالي,تبسيط,,
,,,,,تململ,مخلص,,
,,,,,متململ,بإخلاص,,
,,,,,شيطان,اخلاص,,
,,,,,شيطاني,مهارة,,
,,,,,شرس,ماهر,,
,,,,,صوري,ماهرا,,
,,,,,رجس,بمهارة,,
,,,,,قذرة,سلامين,,
,,,,,خاتمة,بطريق,,
,,,,,متطلب,أملس,,
,,,,,الشقوق,ذكي,,
,,,,,قبضة,أكثر ذكاءً,,
,,,,,شده,أذكى,,
,,,,,مندهش,بذكاء,,
,,,,,وضع علامة,يبتسم,,
,,,,,صارخ,مبتسما,,
,,,,,بشكل صارخ,مغرم,,
,,,,,الذوق,سلس,,
,,,,,الأذواق,أكثر سلاسة,,
,,,,,فلاك,ينعم,,
,,,,,تقشر,أسلس,,
,,,,,متقشر,بسلاسة,,
,,,,,التقشر,لاذع,,
,,,,,يتساقط,أنيق,,
,,,,,قشاري,مرن,,
,,,,,توهج,ناعم,,
,,,,,مشاعل,أكثر ليونة,,
,,,,,اشتعال,العزاء,,
,,,,,تفجر,مهتم,,
,,,,,مسطح خارجي,بحرص,,
,,,,,يتباهى,صلب,,
,,,,,عيب,تكافل,,
,,,,,معيبة,تهدئة,,
,,,,,عيوب,بهدوء,,
,,,,,اهرب,متطور,,
,,,,,هرب,حنون,,
,,,,,الفرار,بشكل سليم,,
,,,,,طائر,سلامة,,
,,,,,يهرب,فسيحة,,
,,,,,عابر,تألق,,
,,,,,الخفقان,متألق,,
,,,,,رمش,مُذهِل,,
,,,,,الخفقان,بصورة مذهلة,,
,,,,,وميض,بسرعة,,
,,,,,طائش,سريع,,
,,,,,الأكذوبة فليم,فتن,,
,,,,,الواهية,فاتن,,
,,,,,يعاكس,بشكل ساحر,,
,,,,,مغازلة,مدهش,,
,,,,,ارضيات,مفعم بالحيوية,,
,,,,,تخبط,روحي,,
,,,,,تخبط,رائع,,
,,,,,الاستهزاء,بشكل رائع,,
,,,,,ارتباك,روعة,,
,,,,,عدو,تلقائي,,
,,,,,أحمق,رياضي,,
,,,,,ينخدع,الناصعة,,
,,,,,متهور,خفيف,,
,,,,,غبي,استقرار,,
,,,,,بحماقة,مستقر,,
,,,,,حماقة,غير القابل للصدأ,,
,,,,,حرم,دافع عن كرامته,,
,,,,,مُحرَّم,مثال رائع من الفن,,
,,,,,منع,فخم,,
,,,,,قوية,تمثالي,,
,,,,,نذير,قوي,,
,,,,,بشكل ينذر بالخطر,بقوة,,
,,,,,مصادرة,ثبات,,
,,,,,مزور,صامد,,
,,,,,منسي,بثبات,,
,,,,,نسيانا,الصمود,,
,,,,,النسيان,الأكثر ثباتا,,
,,,,,بائس,الثبات,,
,,,,,يائس,ثابت,,
,,,,,ترك,ممتاز,,
,,,,,منبوذ,ممتاز,,
,,,,,يتخلى,يحفز,,
,,,,,خطأ,يحفز,,
,,,,,بطريقة كريهة,تنشيط,,
,,,,,بذاءة,تحفيزية,,
,,,,,منقسم,بشكل مثير,,
,,,,,بشكل منقسم,تصويب,,
,,,,,كسر,واضحة,,
,,,,,قابل للكسر,مبسطة,,
,,,,,مجزأة,ملفت للنظر,,
,,,,,واهية,بشكل لافت للنظر,,
,,,,,محمومة,تسعى,,
,,,,,محموم,قوي,,
,,,,,بشكل محموم,أقوى,,
,,,,,احتيال,الأقوى,,
,,,,,محتال,فاجأ,,
,,,,,مفعم,مدهش,,
,,,,,هش,بشكل مذهل,,
,,,,,منهك,هائل,,
,,,,,غريب الأطوار,بشكل هائل,,
,,,,,ينقط,أكثر ثباتا,,
,,,,,عجيب,قوي,,
,,,,,بشكل غريب,أنيق,,
,,,,,النزوات,بشكل أنيق,,
,,,,,تجميد,منمنمة,,
,,,,,يتجمد,لطيف,,
,,,,,تجميد,بلطف,,
,,,,,محموم,سامية,,
,,,,,بشكل محموم,دعم,,
,,,,,مسعور,مدعومة,,
,,,,,نوبة,يدعم,,
,,,,,أقلق,دعم,,
,,,,,عبوس,الموضوعية,,
,,,,,الحنق,ينجح,,
,,,,,احتكاك,نجح,,
,,,,,الاحتكاكات,النجاح,,
,,,,,المقلية,ينجح,,
,,,,,قارس,نجاح,,
,,,,,الخوف,نجاح,,
,,,,,أرعب,النجاحات,,
,,,,,مخيف,ناجح,,
,,,,,بارد جدا,بنجاح,,
,,,,,الصقيع,كفى,,
,,,,,عبوس,يكفي,,
,,,,,جمدت,كافٍ,,
,,,,,مجمدة,بشكل كافي,,
,,,,,غير مثمر,مناسب,,
,,,,,بلا جدوى,مترف,,
,,,,,أحبط,بسخاء,,
,,,,,محبط,بذخ,,
,,,,,يحبط,ممتاز,,
,,,,,محبط,رائع,,
,,,,,بشكل محبط,بطريقة رائعة,,
,,,,,إحباط,أرقى,,
,,,,,الإحباطات,التفوق,,
,,,,,اللعنة,مطواع,,
,,,,,سخيف,يدعم,,
,,,,,حلوى,أيد,,
,,,,,كامل,مؤيد,,
,,,,,ينفجر,مشجع,,
,,,,,تلمس,داعم,,
,,,,,الدخان,دعم,,
,,,,,أبخرة,يدعم,,
,,,,,الأصولية,التفوق,,
,,,,,جبان,أعلى فائق,,
,,,,,تهريج,بدرجة عليا,,
,,,,,مضحك,ضاحية,,
,,,,,حانِق,بشكل رائع,,
,,,,,بغضب,التغلب,,
,,,,,ضجة,تجاوز,,
,,,,,غضب شديد,سريالية,,
,,,,,ضجة,نجاة,,
,,,,,صعب,الناجي,,
,,,,,صدئ,الاستدامة,,
,,,,,عديم الجدوى,مستمر,,
,,,,,بلا جدوى,متبخترة,,
,,,,,عبث,أكثر فخامة,,
,,,,,أجعد,فاخر,,
,,,,,ثرثرة,كنس,,
,,,,,رمح,حلو,,
,,,,,زلة,تحلية,,
,,,,,مخالفه,حبيب,,
,,,,,مخالف,بعذوبة,,
,,,,,المرارة,العذوبة,,
,,,,,مزعج,سريع,,
,,,,,بشكل مزعج,سرعة,,
,,,,,الكرات,المواهب,,
,,,,,رجل عصابة,موهوب,,
,,,,,تثاءب,المواهب,,
,,,,,قمامة,عذب,,
,,,,,متوهج,محيرة,,
,,,,,اللحظات,محيرة,,
,,,,,أخرق,جذب,,
,,,,,مبهرج,مغري,,
,,,,,البله,بشكل مغر,,
,,,,,أخرق,عنيد,,
,,,,,رجل غريب,بعناد,,
,,,,,الإبادة الجماعية,عناد,,
,,,,,الثراء _,ليّن,,
,,,,,مروع,بحنان,,
,,,,,الغيت حي اليهود,رائع,,
,,,,,الظلال,بشكل رائع,,
,,,,,بربر,شكر,,
,,,,,رطانة,شاكرين,,
,,,,,استهزاء,أنحف,,
,,,,,دائخ,وقور,,
,,,,,وسيلة للتحايل,مدروس,,
,,,,,للتحايل,التفكير,,
,,,,,خدعة,تقطير,,
,,,,,الحيل,مقتصد,,
,,,,,دخيلة,التشويق,,
,,,,,وهج,بسعادة غامرة,,
,,,,,بشكل صارخ,مثير,,
,,,,,عفويا,بشكل مثير,,
,,,,,بشكل واضح,الاثارة,,
,,,,,خلل,يزدهر,,
,,,,,مواطن الخلل,مزدهرة,,
,,,,,بشماتة,ارفع ابهامك,,
,,,,,الكآبة,ممتاز,,
,,,,,كئيب,دغدغة,,
,,,,,حملق بسخط,مرتب,,
,,,,,كئيب,العريقة,,
,,,,,تخمة,في الوقت المناسب,,
,,,,,قضم,ارتعش,,
,,,,,هدف,دغدغ,,
,,,,,استفزاز,دغدغة,,
,,,,,الله فظيعة,بدغدغة,,
,,,,,أبله,العمل الجماعي,,
,,,,,تابع,مقبول,,
,,,,,نميمة,مجاني,,
,,,,,تعوزه الفضيلة,قمة,,
,,,,,بلا رحمة,من الدرجة الأولى,,
,,,,,الكسب غير المشروع,أعلى جودة,,
,,,,,محبب,من الدرجة الأولى,,
,,,,,تصارع,قمم,,
,,,,,صر,قاسٍ,,
,,,,,صريف,أكثر صرامة,,
,,,,,بخطورة,اصعب,,
,,,,,دهني,شعبية,,
,,,,,جشع,هادئ,,
,,,,,طماع,الهدوء والطمأنينة,,
,,,,,حزن,شفاف,,
,,,,,التظلم,كنز,,
,,,,,المظالم,بشكل هائل,,
,,,,,يتحسر,عصري,,
,,,,,حزين,انتصار,,
,,,,,بشكل خطير,منتصر,,
,,,,,متجهم,تافهة,,
,,,,,كشر,غنيمة,,
,,,,,طَحن,خالية من المتاعب,,
,,,,,وجع,ورقة رابحة,,
,,,,,مغص,بوق,,
,,,,,مروع,يثق,,
,,,,,شجاع,موثوق به,,
,,,,,إجمالي,الثقة,,
,,,,,بشكل صارخ,بثقة,,
,,,,,شىء متنافر,الجدارة بالثقة,,
,,,,,تذمر,جدير بالثقة,,
,,,,,عابس,موثوق,,
,,,,,لا أساس له,صادقة,,
,,,,,احتج,بصدق,,
,,,,,تذمر,الصدق,,
,,,,,ضغينة,طرفة عين,,
,,,,,ضغينة,فائقة الوضوح,,
,,,,,على مضض,بلا خجل,,
,,,,,شنيع,بلا خجل,,
,,,,,بشكل مروع,غير متأثر,,
,,,,,خشن,منيع,,
,,,,,تذمر,لا يهزم,,
,,,,,أكثر غضبا,غير متحيزة,,
,,,,,الأكثر غضبا,غير مجلد,,
,,,,,غاضب,غير معقدة,,
,,,,,غاضب,غير مشروط,,
,,,,,مُتَأَفِّف,غير تالف,,
,,,,,مكر,شجاعة,,
,,,,,الذنب,مفهومة,,
,,,,,بالذنب,لا جدال فيه,,
,,,,,مذنب,بلا منازع,,
,,,,,ساذج,غير مرتبط,,
,,,,,بلا شجاعة,بين، جلي,,
,,,,,مزراب,بشكل لا لبس فيه,,
,,,,,الخارقة,غير منزعج,,
,,,,,منهك,غير مقيد,,
,,,,,تساوم,لا ينسى,,
,,,,,تساقط الشعر,وحدة,,
,,,,,فاتر,غير محدود,,
,,,,,بفتور,لا مثيل له,,
,,,,,هلوسة,لا مثيل لها,,
,,,,,عرقلة,لا يرقى إليه الشك,,
,,,,,يعوق,مما لا شك فيه,,
,,,,,معاق,غير حقيقي,,
,,,,,يشنق,غير مقيد,,
,,,,,توقف,منقطع النظير,,
,,,,,عشوائي,غير أناني,,
,,,,,سيئ الحظ,لا يتزعزع,,
,,,,,خطبة,متفائل,,
,,,,,مضايقة,قابلة للترقية,,
,,,,,يضايق,ترقية,,
,,,,,تحرش,أيدت,,
,,,,,إيواء,التمسك,,
,,,,,الموانئ,رفع,,
,,,,,صعب,النهضة,,
,,,,,ضربة قوية,بشكل راقٍ,,
,,,,,متشدد,الارتقاء,,
,,,,,متعنت,الراقي,,
,,,,,كرة صلبة,صالح للإستعمال,,
,,,,,تصلب,مفيد,,
,,,,,تصلب,سهل الاستخدام,,
,,,,,متشدد,يمكن استبداله بواسطة المستخدم,,
,,,,,قاسي القلب,الشجاع,,
,,,,,متعنت,ببسالة,,
,,,,,المتشددين,بسالة,,
,,,,,ضائقة,قيّم,,
,,,,,المصاعب,متنوع,,
,,,,,ضرر,تبجيلا,,
,,,,,أذى,يمكن التحقق منها,,
,,,,,ضار,حقيقي,,
,,,,,ضرر,متنوع القدرات,,
,,,,,هاربي,براعه,,
,,,,,إمراة عجوز,نابض بالحياة,,
,,,,,مستعجل,بحيوية,,
,,,,,مسلفة,منتصرا,,
,,,,,صارِم,فوز,,
,,,,,بقسوة,للعرض,,
,,,,,متاعب,اليقظة,,
,,,,,مشاحنة,فضيلة,,
,,,,,متاعب,فاضلة,,
,,,,,متاعب,بفضيلة,,
,,,,,تسرع,البصيرة,,
,,,,,بعجلة,مفعم بالحيوية,,
,,,,,متسرع,واضح,,
,,,,,يكره,يضمن شخص,,
,,,,,مكروه,دافيء,,
,,,,,بغيض,أكثر دفئا,,
,,,,,بكراهية,حنون,,
,,,,,الكراهية,بحرارة,,
,,,,,كاره,الدفء,,
,,,,,الكارهين,ثري,,
,,,,,يكره,مرحباً,,
,,,,,كره,حسنًا,,
,,,,,كراهية,إضاءة خلفية جيدة,,
,,,,,بغطرسة,متوازن,,
,,,,,متغطرس,حسن تصرف,,
,,,,,تطارد,الرفاه,,
,,,,,المؤرقة,ولدت بشكل جيد,,
,,,,,الخراب,على اتصال جيد,,
,,,,,الصقور,تعليما جيدا,,
,,,,,أحمق,راسخة,,
,,,,,خطر,مطلعة,,
,,,,,خطير,حسن النية,,
,,,,,ضباب,معروف,,
,,,,,ضبابي,أحسنت صنعا,,
,,,,,الصداع,مُدار بشكل جيد,,
,,,,,صداع,ذو اخلاق حميدة,,
,,,,,الصداع,موضوع جيدا,,
,,,,,منفطر القلب,استقبال جيد,,
,,,,,مفجع,محترم,,
,,,,,بشكل مفجع,مدور بشكل جيد,,
,,,,,بلا قلب,جيدة الإدارة,,
,,,,,همجي,المهنئين,,
,,,,,ثقيل الوطأة,الرفاهية,,
,,,,,قلبك ملي بالهموم,بإخلاص,,
,,,,,تبا,صحي,,
,,,,,مضايقة,عملي,,
,,,,,مضايقة,راغب,,
,,,,,يضايق,عن طيب خاطر,,
,,,,,محموم,الرغبة,,
,,,,,التحوط أو طوق,يفوز,,
,,,,,مذهب المتعة,مكاسب غير متوقعة,,
,,,,,غافل,يمكن الفوز به,,
,,,,,ضخمة,الفائز,,
,,,,,الهيمنة,الفائزين,,
,,,,,هيمنية,الفوز,,
,,,,,الهيمنة,يفوز,,
,,,,,شنيع,حكمة,,
,,,,,جحيم,حكيم,,
,,,,,عزم أكيد,بحكمة,,
,,,,,الجحيم,بارع,,
,,,,,الجحيم,فاز,,
,,,,,عاجز,يتعجب,,
,,,,,بلا حول ولا قوة,رائع,,
,,,,,العجز,بشكل رائع,,
,,,,,بدعة - هرطقة,رائع,,
,,,,,زنديق,بشكل عجيب,,
,,,,,هرطقة,عجائب,,
,,,,,متردد,عجيب,,
,,,,,متردد,عمل,,
,,,,,البشعة,عملي,,
,,,,,بشعة,عمل,,
,,,,,بشاعة,يعمل,,
,,,,,باهظة الثمن,مشهورة عالميا,,
,,,,,فرحان,يستحق,,
,,,,,يعرقل,جدير بالاهتمام,,
,,,,,عائق,جدارة,,
,,,,,همسة,جدير بالاهتمام,,
,,,,,هسهسة,ذو قيمة,,
,,,,,الهسهسة,رائع,,
,,,,,هو همهمة,مبهر,,
,,,,,كنز,رائع,,
,,,,,خدعة,ياي,,
,,,,,يعرج,شاب,,
,,,,,الخنازير,حماسة,,
,,,,,أجوف,ذروة,,
,,,,,هوديوم,شهية,,
,,,,,يخدع,رشيق,,
,,,,,همجي,,,
,,,,,ميئوس منه,,,
,,,,,ميؤوس منها,,,
,,,,,اليأس,,,
,,,,,حشد,,,
,,,,,بشع,,,
,,,,,بشكل مروع,,,
,,,,,فظيع,,,
,,,,,فظيع,,,
,,,,,مروع,,,
,,,,,مرعوب,,,
,,,,,يرعب,,,
,,,,,مرعب,,,
,,,,,رهينة,,,
,,,,,عدائي,,,
,,,,,الأعمال العدائية,,,
,,,,,العداء,,,
,,,,,بؤر,,,
,,,,,شخص متهور,,,
,,,,,عجول,,,
,,,,,دفيئة,,,
,,,,,الغطرسة,,,
,,,,,ساوم,,,
,,,,,همم,,,
,,,,,رطب,,,
,,,,,إذلال,,,
,,,,,مهين,,,
,,,,,إذلال,,,
,,,,,طنين,,,
,,,,,التعلق,,,
,,,,,يؤذي,,,
,,,,,يتأذى,,,
,,,,,مؤذ,,,
,,,,,مؤلم,,,
,,,,,يؤلم,,,
,,,,,محتال,,,
,,,,,الضجيج,,,
,,,,,نفاق,,,
,,,,,نفاق,,,
,,,,,منافق,,,
,,,,,المنافقين,,,
,,,,,منافق,,,
,,,,,نفاقا,,,
,,,,,هستيريا,,,
,,,,,هستيري,,,
,,,,,هستيري,,,
,,,,,بشكل هستيري,,,
,,,,,نوبة ضحك,,,
,,,,,حماقات,,,
,,,,,حماقة,,,
,,,,,غبي,,,
,,,,,غبي,,,
,,,,,بغباء,,,
,,,,,البلهاء,,,
,,,,,عاطل,,,
,,,,,حقير,,,
,,,,,مخزي,,,
,,,,,بشكل مخزي,,,
,,,,,الخزي,,,
,,,,,جهل,,,
,,,,,جاهل,,,
,,,,,يتجاهل,,,
,,,,,غير حكيم,,,
,,,,,غير مدروس,,,
,,,,,غير محددة,,,
,,,,,سيئة التصميم,,,
,,,,,مشؤومة,,,
,,,,,سيئة الحظ,,,
,,,,,سيئة التشكيل,,,
,,,,,غير مهذب,,,
,,,,,سوء النية,,,
,,,,,سيئة الترتيب,,,
,,,,,سوء المزاج,,,
,,,,,سوء المعاملة,,,
,,,,,سوء الاستخدام,,,
,,,,,سوء الاستخدام,,,
,,,,,غير قانوني,,,
,,,,,بشكل غير قانوني,,,
,,,,,غير شرعي,,,
,,,,,غير مشروع,,,
,,,,,أمي,,,
,,,,,مرض,,,
,,,,,غير منطقي,,,
,,,,,غير منطقي,,,
,,,,,بشكل غير منطقي,,,
,,,,,وهم,,,
,,,,,أوهام,,,
,,,,,وهمية,,,
,,,,,خيالي,,,
,,,,,اختلال التوازن,,,
,,,,,أبله,,,
,,,,,مربك,,,
,,,,,غير مادي,,,
,,,,,غير ناضج,,,
,,,,,وشيك,,,
,,,,,وشيكاً,,,
,,,,,يجمد,,,
,,,,,مفرط,,,
,,,,,بشكل غير معتدل,,,
,,,,,غير محتشم,,,
,,,,,غير أخلاقي,,,
,,,,,الفجور,,,
,,,,,بشكل غير أخلاقي,,,
,,,,,غير منقولة,,,
,,,,,يضعف,,,
,,,,,ضعف السمع,,,
,,,,,المأزق,,,
,,,,,نفاد الصبر,,,
,,,,,نافذ الصبر,,,
,,,,,بفارغ الصبر,,,
,,,,,عزل,,,
,,,,,معاوقة,,,
,,,,,إعاقة,,,
,,,,,عائق,,,
,,,,,وشيك,,,
,,,,,غير تائب,,,
,,,,,غير تام,,,
,,,,,نقص - عيب,,,
,,,,,العيوب,,,
,,,,,بشكل غير كامل,,,
,,,,,الامبريالية,,,
,,,,,للخطر,,,
,,,,,ملح,,,
,,,,,بقوة,,,
,,,,,غير مسموح به,,,
,,,,,مبني للمجهول,,,
,,,,,وقح,,,
,,,,,متهور,,,
,,,,,بشكل متهور,,,
,,,,,المعصية,,,
,,,,,يصطدم,,,
,,,,,غير تقوى,,,
,,,,,عنيد,,,
,,,,,غير قابل للتصديق,,,
,,,,,غير معقول,,,
,,,,,توريط,,,
,,,,,يتضمن,,,
,,,,,ينفجر داخليا، ينهار للداخل,,,
,,,,,غير مهذب,,,
,,,,,بطريقة غير مهذبة,,,
,,,,,غير حكيم,,,
,,,,,مزعج,,,
,,,,,مهم,,,
,,,,,فرض,,,
,,,,,فرض,,,
,,,,,فرض,,,
,,,,,فرض,,,
,,,,,مستحيل,,,
,,,,,استحالة,,,
,,,,,مستحيل,,,
,,,,,عاجز,,,
,,,,,إفقار,,,
,,,,,فقير,,,
,,,,,غير عملي,,,
,,,,,لعن,,,
,,,,,غير دقيق,,,
,,,,,بشكل غير دقيق,,,
,,,,,عدم الدقة,,,
,,,,,حبس,,,
,,,,,السجن,,,
,,,,,عدم الاحتمالية,,,
,,,,,غير محتمل,,,
,,,,,غير محتمل,,,
,,,,,غير مناسب,,,
,,,,,بشكل غير صحيح,,,
,,,,,مخالفة,,,
,,,,,الحماقة,,,
,,,,,غير حكيم,,,
,,,,,صفاقة,,,
,,,,,صفيق,,,
,,,,,بوقاحة,,,
,,,,,فند,,,
,,,,,مندفع,,,
,,,,,باندفاع,,,
,,,,,الإفلات من العقاب,,,
,,,,,غير نقية,,,
,,,,,نجاسة,,,
,,,,,عجز,,,
,,,,,عدم الدقة,,,
,,,,,عدم دقة,,,
,,,,,غير دقيق,,,
,,,,,بشكل غير دقيق,,,
,,,,,التقاعس عن العمل,,,
,,,,,غير نشط,,,
,,,,,عدم كفاية,,,
,,,,,غير كافٍ,,,
,,,,,بشكل غير كاف,,,
,,,,,غير متعمد,,,
,,,,,عن غير قصد,,,
,,,,,غير مرغوب فيه,,,
,,,,,بشكل غير مرغوب فيه,,,
,,,,,تافه,,,
,,,,,بجنون,,,
,,,,,غير مناسب,,,
,,,,,بشكل غير لائق,,,
,,,,,غير مناسب,,,
,,,,,عدم الكفاءة,,,
,,,,,غير مفصل,,,
,,,,,غافل,,,
,,,,,غير مسموع,,,
,,,,,غير قادر,,,
,,,,,غير قادر,,,
,,,,,غافل,,,
,,,,,حارقة,,,
,,,,,عطور,,,
,,,,,متواصل,,,
,,,,,بلا انقطاع,,,
,,,,,يحرض,,,
,,,,,تحريض,,,
,,,,,قلة أدب,,,
,,,,,عاصف,,,
,,,,,غير مدرك,,,
,,,,,التنافر,,,
,,,,,غير متماسك,,,
,,,,,بشكل غير متماسك,,,
,,,,,غير متكافئ,,,
,,,,,لا تضاهى,,,
,,,,,لا تضاهى,,,
,,,,,عدم التوافق,,,
,,,,,عدم توافق,,,
,,,,,غير متوافق,,,
,,,,,عدم الكفاءة,,,
,,,,,غير كفء,,,
,,,,,غير كفؤ,,,
,,,,,غير مكتمل,,,
,,,,,غير متوافق,,,
,,,,,غير مفهوم,,,
,,,,,عدم الفهم,,,
,,,,,لا يمكن تصوره,,,
,,,,,بشكل لا يمكن تصوره,,,
,,,,,غير مناسب,,,
,,,,,بشكل غير متناسب,,,
,,,,,غير منطقي,,,
,,,,,غير منطقي,,,
,,,,,بشكل غير منطقي,,,
,,,,,بشكل غير منطقي,,,
,,,,,متهور,,,
,,,,,بتهور,,,
,,,,,عدم الاتساق,,,
,,,,,التناقضات,,,
,,,,,التناقض,,,
,,,,,تتعارض,,,
,,,,,لا يطاق,,,
,,,,,بشكل لا يطاق,,,
,,,,,متقلب,,,
,,,,,غير مريح,,,
,,,,,بشكل غير مريح,,,
,,,,,غير صحيح,,,
,,,,,بشكل غير صحيح,,,
,,,,,غير قابل للإصلاح,,,
,,,,,بشكل لا يمكن إصلاحه,,,
,,,,,لا يصدق,,,
,,,,,بشكل لا يصدق,,,
,,,,,غرس,,,
,,,,,البذاءة,,,
,,,,,غير لائقة,,,
,,,,,بشكل غير لائق,,,
,,,,,التردد,,,
,,,,,غير حاسم,,,
,,,,,بشكل غير حاسم,,,
,,,,,غير لائقة,,,
,,,,,لا يمكن الدفاع عنه,,,
,,,,,غير محتشم,,,
,,,,,غير قابل للتحديد,,,
,,,,,بشكل غير محدد,,,
,,,,,غير محدد,,,
,,,,,لا مبالاة,,,
,,,,,غير مبال,,,
,,,,,معوز,,,
,,,,,ساخط,,,
,,,,,بسخط,,,
,,,,,السخط,,,
,,,,,إهانة,,,
,,,,,لا يمكن تمييزه,,,
,,,,,طائش,,,
,,,,,بشكل طائش,,,
,,,,,طيش,,,
,,,,,عشوائي,,,
,,,,,بشكل عشوائي,,,
,,,,,عشوائية,,,
,,,,,لا يمكن تمييزه,,,
,,,,,تلقين,,,
,,,,,التلقين,,,
,,,,,كسلان,,,
,,,,,تنغمس,,,
,,,,,غير فعالة,,,
,,,,,غير فعال,,,
,,,,,عدم الفعالية,,,
,,,,,غير فعالة,,,
,,,,,بشكل غير فعال,,,
,,,,,عدم الفعالية,,,
,,,,,غير فعال,,,
,,,,,عدم الكفاءة,,,
,,,,,عدم الكفاءة,,,
,,,,,غير فعال,,,
